person_id,prolific_id,phase,relevant,timestamp,interesting,know_better,like_chosen,diversity_high,differed_topics,fit_preferences,looking_forward,fitted_preferences,similar_to_each_other,sport,politikk,media_usage,news_source,media_access,mat_og_drikke,klima_og_miljo,livsstil_og_helse,helse_og_forskning,samfunn_og_arbeidsliv,okonomi_og_naeringsliv,teknologi_og_vitenskap,kriminalitet_og_rettssaker,underholdning_og_kjendiser,utenriks_og_globale_konflikter,num_clicks,percent_familiar,age,country,education,gender
34,5f4560c565e28d13e5dd5d56,2,5,2025-06-21T18:40:44.466465+00:00,5,3,5,5,5,5,4,5,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,4,50.0,b25_35,ZA,BA,Female
35,60aad516e34718d318bfb44d,1,3,2025-06-19T13:35:46.575257+00:00,3,3,4,3,4,5,4,3,4,-1,-1,weekly,social,"internet,smartphone",1,1,1,1,1,1,1,1,1,-1,5,,b25_35,ZA,BA,Female
35,60aad516e34718d318bfb44d,2,2,2025-06-21T18:21:39.370899+00:00,1,2,2,1,2,3,2,1,4,-1,-1,daily,social,"internet,smartphone",1,1,-1,-1,1,1,1,-1,1,-1,6,83.3,b25_35,ZA,BA,Female
36,67edaed17096067b7031e62a,1,5,2025-06-19T13:34:10.053608+00:00,5,4,5,5,5,5,5,5,3,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,5,,b45_55,US,MSc,Male
36,67edaed17096067b7031e62a,2,5,2025-06-22T18:33:07.617198+00:00,5,3,5,2,3,4,5,4,3,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,5,60.0,b45_55,US,MSc,Male
38,68426deed119a0145eafb602,1,4,2025-06-19T13:37:49.804986+00:00,4,3,4,4,5,4,4,4,2,1,1,daily,social,"internet,smartphone,tablet,streaming",-1,1,-1,1,-1,1,1,1,1,1,7,,b25_35,US,MSc,Female
38,68426deed119a0145eafb602,2,4,2025-06-21T18:30:42.017354+00:00,4,5,5,4,4,5,5,4,2,1,1,daily,social,smartphone,-1,1,-1,1,-1,1,1,1,-1,1,7,85.7,b25_35,US,MSc,Female
39,682a94c9b4df90116f154aba,1,4,2025-06-19T13:38:41.607471+00:00,4,4,4,3,5,3,5,3,1,1,-1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,-1,6,,b18_24,US,High_school,Male
39,682a94c9b4df90116f154aba,2,5,2025-06-21T18:55:48.825959+00:00,4,5,5,5,4,5,5,5,4,1,1,daily,social,"internet,smartphone,tablet,streaming",-1,-1,-1,-1,-1,1,1,1,1,-1,6,100.0,b18_24,US,High_school,Male
40,6321d9c78e8e3c04f82a0ea0,1,5,2025-06-19T13:38:28.210368+00:00,5,2,5,4,4,5,4,5,3,1,1,daily,social,"internet,smartphone,streaming",-1,1,-1,1,1,1,1,1,-1,1,10,,b35_45,GB,High_school,Male
40,6321d9c78e8e3c04f82a0ea0,2,5,2025-06-22T06:18:56.958174+00:00,5,3,5,4,4,4,4,4,2,1,1,daily,social,"internet,smartphone,streaming",1,1,-1,1,1,1,1,1,-1,1,19,78.9,b35_45,GB,High_school,Male
41,67c0b00f366cea0441141661,1,5,2025-06-19T13:39:39.401354+00:00,4,2,4,4,5,5,5,5,1,1,1,daily,tv,"internet,smartphone,streaming",-1,1,-1,1,-1,-1,1,1,-1,1,7,,over_55,US,High_school,Male
41,67c0b00f366cea0441141661,2,4,2025-06-22T15:24:46.633257+00:00,4,3,4,1,1,5,5,2,5,1,1,daily,tv,"internet,smartphone,streaming",1,1,-1,1,-1,-1,1,1,-1,1,7,71.4,over_55,US,High_school,Male
42,62a33f629f9fe91f831c2afc,1,4,2025-06-19T13:39:48.346552+00:00,3,2,3,4,5,3,3,4,1,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,-1,1,-1,1,1,1,-1,1,5,,b25_35,GB,High_school,Male
42,62a33f629f9fe91f831c2afc,2,1,2025-06-22T10:56:31.581487+00:00,1,4,1,3,2,1,1,1,5,-1,-1,daily,social,"internet,smartphone,tablet,streaming",1,-1,-1,-1,-1,1,1,-1,-1,-1,2,100.0,b25_35,GB,High_school,Male
43,6839ad8cc5222ee5dbcc234d,1,5,2025-06-19T13:45:12.647824+00:00,5,5,5,5,5,5,5,5,1,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,-1,1,1,5,,b25_35,US,Doctorate,Female
43,6839ad8cc5222ee5dbcc234d,2,5,2025-06-22T03:17:50.831734+00:00,5,4,5,3,3,4,5,5,5,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,5,80.0,b25_35,US,Doctorate,Female
44,6835ef307e3846d9c8d287ca,1,5,2025-06-19T13:43:38.740543+00:00,5,3,5,5,5,5,5,5,4,1,-1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,-1,1,1,1,1,1,-1,7,,b35_45,US,Doctorate,Female
44,6835ef307e3846d9c8d287ca,2,5,2025-06-22T16:45:44.198487+00:00,5,3,5,5,5,5,5,5,2,1,1,daily,tv,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,-1,1,1,3,66.7,b35_45,US,Doctorate,Female
45,6840d9cac5807af4d4f0f769,1,5,2025-06-19T13:44:38.725544+00:00,5,5,5,4,5,5,5,5,1,-1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,-1,1,-1,1,1,10,,b25_35,US,BA,Female
45,6840d9cac5807af4d4f0f769,2,5,2025-06-21T18:18:41.477889+00:00,5,4,5,4,4,5,5,5,3,-1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,-1,1,1,37,70.3,b25_35,US,BA,Female
46,684db85e125fd6b6d4234c4e,1,5,2025-06-19T13:46:41.824562+00:00,5,4,5,5,5,4,5,4,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,5,,b25_35,US,Doctorate,Male
46,684db85e125fd6b6d4234c4e,2,4,2025-06-21T18:46:00.294706+00:00,4,3,4,5,5,5,4,4,1,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,-1,1,1,1,1,-1,-1,-1,1,100.0,b25_35,US,Doctorate,Male
47,67751fbf8a2226d994521789,1,4,2025-06-19T13:42:49.795928+00:00,4,2,4,4,3,5,4,4,4,1,1,daily,social,"internet,smartphone,streaming",1,1,1,-1,1,1,1,1,-1,1,6,,b35_45,GB,BA,Male
47,67751fbf8a2226d994521789,2,4,2025-06-21T18:23:50.277139+00:00,4,3,4,4,5,4,3,4,3,1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,-1,1,1,-1,-1,1,10,70.0,b35_45,GB,BA,Male
48,666afd49bb321ccf93b16c95,1,3,2025-06-19T13:44:21.346746+00:00,4,2,4,4,5,3,3,3,1,-1,-1,daily,social,"internet,smartphone,tablet,streaming",-1,1,-1,1,1,1,1,-1,-1,1,5,,b18_24,CA,BA,Male
48,666afd49bb321ccf93b16c95,2,2,2025-06-21T19:32:28.243327+00:00,4,2,4,4,4,3,4,3,4,-1,-1,daily,social,"internet,smartphone,tablet,streaming",-1,1,-1,1,1,-1,1,-1,-1,1,4,100.0,b18_24,CA,BA,Male
49,683932b556c18f27289fd88b,1,4,2025-06-19T13:49:24.998370+00:00,4,4,5,4,4,5,5,5,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,-1,1,1,-1,1,1,1,1,1,8,,b25_35,US,BA,Male
49,683932b556c18f27289fd88b,2,4,2025-06-21T21:26:08.589281+00:00,4,4,5,4,4,5,4,4,2,-1,1,daily,social,"internet,smartphone,tablet,streaming",1,-1,1,1,-1,1,1,1,1,1,2,100.0,b25_35,US,BA,Male
51,683cab1c47da44c259579d2a,1,5,2025-06-19T13:52:06.937967+00:00,5,1,5,5,4,5,5,5,1,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,5,,b18_24,US,BA,Female
51,683cab1c47da44c259579d2a,2,3,2025-06-21T18:17:15.884632+00:00,4,3,5,5,4,5,5,3,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,7,57.1,b18_24,US,BA,Female
53,62fd14d7b1e0729dc8aadb79,1,1,2025-06-19T13:49:35.681682+00:00,1,4,3,3,4,4,2,2,3,1,1,daily,social,"internet,smartphone,tablet,streaming",1,-1,1,1,-1,1,1,1,1,1,5,,b25_35,GB,BA,Male
53,62fd14d7b1e0729dc8aadb79,2,3,2025-06-21T18:43:56.614206+00:00,3,2,4,4,4,4,3,4,2,1,1,daily,social,"internet,smartphone,tablet,streaming",-1,-1,-1,-1,-1,-1,-1,1,1,-1,2,100.0,b25_35,GB,BA,Male
54,679154d304790eef1237fba1,1,5,2025-06-19T13:52:32.545541+00:00,5,4,5,4,4,4,4,5,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,-1,1,1,5,,b18_24,US,High_school,Female
54,679154d304790eef1237fba1,2,5,2025-06-21T18:37:38.927902+00:00,5,2,5,4,4,5,5,5,2,1,1,weekly,social,"internet,smartphone,tablet,streaming",1,-1,1,1,1,1,1,-1,1,1,5,80.0,b18_24,US,High_school,Female
57,55ac3198fdf99b6de3b68b23,1,4,2025-06-19T13:57:47.701167+00:00,3,4,4,4,4,3,3,3,2,1,1,daily,social,internet,-1,-1,1,1,1,1,1,1,-1,1,5,,over_55,GB,BA,Male
57,55ac3198fdf99b6de3b68b23,2,4,2025-06-21T19:36:23.114882+00:00,3,4,4,4,4,4,3,3,3,1,1,daily,papers,"internet,smartphone",-1,-1,-1,-1,-1,1,1,1,-1,1,4,75.0,over_55,GB,BA,Male
58,60bf28df4926a8b6391df575,1,4,2025-06-19T13:54:51.871039+00:00,5,3,5,4,4,4,4,5,2,1,-1,daily,social,"internet,smartphone,streaming",1,-1,1,-1,1,1,1,1,1,-1,5,,b18_24,PL,BA,Male
58,60bf28df4926a8b6391df575,2,4,2025-06-22T09:08:49.143261+00:00,5,3,5,4,5,5,4,5,2,1,-1,daily,social,"internet,smartphone,tablet,streaming",1,-1,1,-1,-1,1,1,1,1,1,10,70.0,b18_24,PL,BA,Male
59,5e909d6c5321c13abee11725,1,4,2025-06-19T13:55:40.668111+00:00,4,4,4,4,5,4,4,4,4,-1,1,weekly,social,"internet,smartphone,tablet,streaming",1,-1,1,1,-1,1,1,1,-1,-1,5,,b35_45,GB,BA,Female
59,5e909d6c5321c13abee11725,2,4,2025-06-21T18:32:19.059701+00:00,4,4,4,4,4,4,4,4,4,-1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,5,100.0,b35_45,GB,BA,Female
